ID,ApplicationDate_financial,AnnualIncome,EmploymentStatus,Experience,LoanDuration,NumberOfDependents,MonthlyDebtPayments,NumberOfOpenCreditLines,BankruptcyHistory,PreviousLoanDefaults,LengthOfCreditHistory,CheckingAccountBalance,TotalLiabilities,NetWorth,LoanApproved,ApplicationDate_demographic,Age,CreditScore,EducationLevel,LoanAmount,MaritalStatus,HomeOwnershipStatus,CreditCardUtilizationRate,NumberOfCreditInquiries,LoanPurpose,PaymentHistory,SavingsAccountBalance,TotalAssets,JobTenure,InterestRate,RiskScore,MonthlyIncome,MonthlyLoanPayment,TotalDebtToIncomeRatio
A001,01-01-2018,39948,Employed,22,48,2,183,1,0,0,9,1202,19183,126928.0,0,01-01-2018,45,617,Master,13152,Married,Own,35.4,2,Home,29,7632,146111.0,11,22.75,49.0,3329.0,274.0,13.727846200060078
A002,02-01-2018,39709,Employed,15,48,1,496,5,0,0,9,3460,9595,43609.0,0,02-01-2018,38,628,Associate,26045,Single,Mortgage,8.78,3,Debt Consolidation,21,4627,53204.0,3,20.1,51.0,3309.0833333333335,542.6041666666666,31.386461507466816
A003,03-01-2018,40724,Employed,26,36,2,902,2,0,0,22,895,128874,5205.0,0,03-01-2018,47,570,Bachelor,17627,Married,Rent,13.7,0,Education,20,886,25176.0,6,21.25,51.0,3393.6666666666665,489.6388888888889,41.00694103395214
A004,04-01-2018,69084,Employed,34,96,1,755,2,0,0,10,1217,5370,99452.0,0,04-01-2018,58,545,High School,37898,Single,Mortgage,2.67,1,Home,27,1675,104822.0,5,30.09,54.0,5757.0,394.7708333333333,19.97170111748017
A005,05-01-2018,103264,Employed,17,36,1,274,0,0,0,27,4981,17286,208961.625,1,05-01-2018,37,594,Associate,9184,Married,Mortgage,3.2,0,Debt Consolidation,26,1555,244305.0,5,17.59,36.0,8605.333333333334,255.11111111111111,6.148641669249044
A006,06-01-2018,138459,Self-Employed,16,72,0,732,5,0,1,19,1223,40843,27071.0,1,06-01-2018,37,626,Master,15433,Married,Rent,10.2,1,Debt Consolidation,16,2118,67914.0,5,21.76,44.0,14859.166666666666,214.34722222222223,6.368777223188081
A007,07-01-2018,51250,Employed,39,48,0,337,6,0,0,18,1735,43894,21730.0,0,07-01-2018,58,564,High School,12741,Married,Rent,3.67,1,Other,21,5161,65624.0,5,20.52,50.0,4270.833333333333,265.4375,14.105853658536587
A008,08-01-2018,97345,Employed,23,12,5,288,5,0,0,11,74,11556,38621.0,1,08-01-2018,49,516,High School,19634,Divorced,Mortgage,20.9,0,Other,19,781,50177.0,5,20.91,42.0,8112.083333333333,1636.1666666666667,23.719759617854027
A009,09-01-2018,116841,Employed,12,60,5,638,3,1,0,29,708,49940,7711.0,0,09-01-2018,34,603,Bachelor,53725,Divorced,Own,1.92,0,Debt Consolidation,25,1157,29632.0,3,29.15,61.0,9736.75,922.55,16.027421881017794
A010,10-01-2018,40615,Employed,19,12,4,704,3,0,0,10,446,12852,116812.0,0,10-01-2018,46,612,Associate,25443,Married,Other,5.12,2,Other,23,1028,129664.0,3,19.72,53.0,3384.5833333333335,2120.25,83.44454019450941
